plate,owner,phone,class_vehicle,province,registration_date,id_card,type,time,violation_folder,plate_img
,Không xác định,,,,,,NGUOC CHIEU,22:36:19,violations\ID126_20260524_223619__NGUOCCHIEU,violations\ID126_20260524_223619__NGUOCCHIEU\plate_.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:36:21,violations\ID159_20260524_223621_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:24,violations\ID175_20260524_223624__NGUOCCHIEU,violations\ID175_20260524_223624__NGUOCCHIEU\plate_.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:36:36,violations\ID203_20260524_223636_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:37,violations\ID207_20260524_223637_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:38,violations\ID168_20260524_223638_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:39,violations\ID176_20260524_223639_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:43,violations\ID236_20260524_223643_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:43,violations\ID220_20260524_223643_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:44,violations\ID219_20260524_223644_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:44,violations\ID172_20260524_223644_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:46,violations\ID224_20260524_223646_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:48,violations\ID226_20260524_223648_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:51,violations\ID251_20260524_223651_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:52,violations\ID239_20260524_223652_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:59,violations\ID264_20260524_223658_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:59,violations\ID276_20260524_223659_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:00,violations\ID281_20260524_223700_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:00,violations\ID254_20260524_223700_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:02,violations\ID253_20260524_223702_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:03,violations\ID279_20260524_223703_UNKNOWN_NGUOCCHIEU,
M40,Không xác định,,,,,,NGUOC CHIEU,22:37:06,violations\ID286_20260524_223706_M40_NGUOCCHIEU,violations\ID286_20260524_223706_M40_NGUOCCHIEU\plate_M40.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:37:08,violations\ID275_20260524_223708_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:13,violations\ID300_20260524_223713__NGUOCCHIEU,violations\ID300_20260524_223713__NGUOCCHIEU\plate_.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:37:17,violations\ID295_20260524_223717_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:22,violations\ID311_20260524_223722_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:22,violations\ID312_20260524_223722_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:24,violations\ID313_20260524_223724_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:28,violations\ID317_20260524_223728_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:34,violations\ID319_20260524_223734_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:35,violations\ID334_20260524_223735_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:37,violations\ID303_20260524_223737_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:38,violations\ID342_20260524_223738_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:39,violations\ID343_20260524_223739_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:37:45,violations\ID360_20260524_223745_UNKNOWN_NGUOCCHIEU,
