epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,5955.66,0.64118,0.37603,0.91659,0.87231,0.84542,0.90676,0.58629,1.33852,0.78077,1.45439,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,6027.63,0.62903,0.37301,0.91468,0.85675,0.86491,0.90453,0.58431,1.34138,0.78462,1.45017,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,6100.46,0.64738,0.38339,0.9208,0.84721,0.88187,0.90756,0.58113,1.34292,0.77709,1.45233,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,6172.85,0.6249,0.36565,0.91424,0.86025,0.85767,0.90551,0.58496,1.34402,0.80699,1.42788,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,6244.92,0.62893,0.36989,0.91067,0.88343,0.82484,0.89877,0.5818,1.34008,0.80128,1.44229,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,6317.26,0.62484,0.36699,0.90676,0.86758,0.84652,0.90284,0.58288,1.34057,0.79755,1.44957,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,6389.37,0.60884,0.35906,0.9072,0.85488,0.86551,0.90208,0.58567,1.3366,0.79445,1.44036,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,6461.65,0.61743,0.36703,0.90846,0.85912,0.86422,0.89906,0.58691,1.3327,0.79007,1.44262,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,6533.78,0.60773,0.36125,0.9052,0.87134,0.86234,0.90321,0.58357,1.33531,0.7717,1.44147,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,6605.93,0.6103,0.35884,0.90289,0.86578,0.87658,0.90465,0.58715,1.32514,0.76919,1.43417,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,6678.36,0.60293,0.35643,0.90285,0.8543,0.87641,0.90326,0.58889,1.32726,0.77878,1.43629,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,6750.5,0.60504,0.35983,0.90432,0.86201,0.86709,0.9034,0.58776,1.32983,0.7786,1.43802,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,6823.4,0.52846,0.29546,0.87468,0.85769,0.87606,0.90128,0.58008,1.34481,0.7525,1.46836,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,6895.86,0.51188,0.29792,0.86837,0.86785,0.86421,0.90247,0.58335,1.34116,0.76902,1.46808,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,6967.94,0.4955,0.28328,0.86581,0.85852,0.86656,0.90631,0.58864,1.33966,0.78162,1.47136,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,7040.26,0.50373,0.28726,0.86623,0.86994,0.85918,0.90503,0.58672,1.33248,0.76868,1.4629,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,7112.61,0.48233,0.2783,0.86061,0.88233,0.84486,0.9042,0.58641,1.33592,0.76685,1.47125,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,7184.83,0.4789,0.27673,0.85901,0.86032,0.86173,0.90335,0.58991,1.33035,0.77013,1.46917,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,7257.13,0.47927,0.27856,0.8637,0.86258,0.85981,0.90287,0.58882,1.33339,0.77111,1.47707,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,7329.26,0.48038,0.27642,0.86343,0.87087,0.8535,0.90385,0.5896,1.33248,0.77394,1.47645,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,7401.25,0.47504,0.27299,0.86034,0.85861,0.87145,0.90509,0.58777,1.33146,0.76631,1.47756,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,7473.73,0.47782,0.28113,0.86302,0.86055,0.85814,0.90498,0.58893,1.33085,0.77011,1.47736,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
