epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,21260.2,0.95871,0.42208,1.08346,0.9891,0.96713,0.98864,0.72251,1.0683,0.34963,1.13664,0.002179,0.002179,0.002179
81,21528,0.94973,0.4155,1.08079,0.98845,0.96725,0.98784,0.72242,1.06889,0.34976,1.13708,0.00208,0.00208,0.00208
82,21795.4,0.95007,0.41511,1.0816,0.98904,0.96713,0.9883,0.72197,1.06924,0.34921,1.13725,0.001981,0.001981,0.001981
83,22061.7,0.94531,0.41698,1.08271,0.98803,0.96713,0.98816,0.72186,1.0692,0.34895,1.13734,0.001882,0.001882,0.001882
84,22329.2,0.94065,0.41094,1.07602,0.98845,0.9673,0.98786,0.72195,1.06932,0.34903,1.13747,0.001783,0.001783,0.001783
85,22596.6,0.93622,0.40841,1.07285,0.98848,0.96713,0.98784,0.72219,1.06958,0.34894,1.13789,0.001684,0.001684,0.001684
86,22865.1,0.9291,0.40476,1.069,0.98847,0.9683,0.98767,0.72194,1.06984,0.34862,1.13794,0.001585,0.001585,0.001585
87,23132.8,0.92439,0.40196,1.06483,0.98846,0.96823,0.98774,0.72204,1.06973,0.3485,1.13783,0.001486,0.001486,0.001486
88,23399.6,0.9193,0.39566,1.06358,0.98828,0.96867,0.98772,0.72233,1.0698,0.34894,1.13796,0.001387,0.001387,0.001387
89,23667,0.91907,0.39524,1.06833,0.98795,0.96867,0.98875,0.72281,1.06992,0.3486,1.13798,0.001288,0.001288,0.001288
90,23933.6,0.91886,0.39717,1.06367,0.98744,0.96919,0.9895,0.72294,1.07025,0.34815,1.13816,0.001189,0.001189,0.001189
91,24200.8,0.89328,0.33484,1.06576,0.98995,0.96816,0.98945,0.72331,1.07013,0.34818,1.13811,0.00109,0.00109,0.00109
92,24467.3,0.87797,0.32759,1.05983,0.99002,0.96812,0.9895,0.7238,1.07015,0.34799,1.13815,0.000991,0.000991,0.000991
93,24735,0.86845,0.32522,1.05458,0.98925,0.96816,0.98951,0.72372,1.07013,0.3477,1.13826,0.000892,0.000892,0.000892
94,25002.3,0.85708,0.32274,1.049,0.98911,0.96816,0.98951,0.72408,1.07035,0.34783,1.13857,0.000793,0.000793,0.000793
95,25269.3,0.85639,0.31998,1.04679,0.98923,0.96816,0.98944,0.72401,1.0704,0.34739,1.13882,0.000694,0.000694,0.000694
96,25536.6,0.84892,0.31836,1.04524,0.9895,0.96768,0.98939,0.72422,1.07067,0.34703,1.13925,0.000595,0.000595,0.000595
97,25803.6,0.83697,0.31294,1.03734,0.99001,0.96746,0.98938,0.72373,1.07105,0.34697,1.13965,0.000496,0.000496,0.000496
98,26070.2,0.83367,0.31334,1.03535,0.99001,0.96741,0.98823,0.72408,1.07088,0.34693,1.1395,0.000397,0.000397,0.000397
99,26336.2,0.82504,0.30982,1.02841,0.99002,0.96759,0.98772,0.72354,1.07095,0.34666,1.13988,0.000298,0.000298,0.000298
100,26602.7,0.82108,0.30892,1.02499,0.99002,0.96759,0.98773,0.7239,1.07107,0.34703,1.14011,0.000199,0.000199,0.000199
